category,material_tier,size,labor_hours,complexity_score,quality_score,market_saturation,hourly_wage,material_cost,price
Painting,Standard,Medium,7.8,4.11,56.6,0.622,94.5,287.5,1335.0
Textile,Premium,Small,4.9,6.41,95.3,0.239,95.6,441.0,2233.0
Pottery,Premium,Small,5.7,4.67,64.3,0.285,128.7,151.2,1869.0
Woodwork,Economy,Large,4.7,6.06,67.7,0.421,115.9,512.0,1994.0
Painting,Premium,Small,16.0,1.67,67.7,0.438,119.9,315.0,3373.0
Painting,Economy,Small,14.0,3.55,81.0,0.073,126.0,140.0,4039.0
Textile,Premium,Medium,9.2,8.62,90.8,0.12,91.8,630.0,4235.0
BambooCane,Economy,Medium,4.2,4.57,64.4,0.553,92.7,120.0,767.0
BambooCane,Standard,Large,4.2,0.74,86.7,0.728,117.1,276.0,983.0
Textile,Economy,Small,4.2,4.25,86.1,0.59,80.6,196.0,800.0
Metalware,Economy,Medium,6.5,3.71,66.7,0.439,73.0,400.0,1333.0
BambooCane,Economy,Medium,9.3,3.29,31.3,0.159,139.0,120.0,2299.0
Pottery,Standard,Small,7.7,7.15,97.1,0.31,109.5,96.6,2366.0
Woodwork,Economy,Medium,1.7,4.68,82.1,0.567,131.8,320.0,949.0
Textile,Premium,Medium,7.6,0.71,76.8,0.69,94.9,630.0,1514.0
Leatherwork,Economy,Small,12.1,0.5,69.3,0.359,83.3,252.0,1938.0
Pottery,Economy,Large,5.0,8.3,74.9,0.833,145.7,153.6,1696.0
Jewelry,Premium,Medium,8.5,1.43,87.7,0.458,68.8,1080.0,3034.0
Pottery,Economy,Medium,2.1,2.61,45.5,0.568,79.3,96.0,386.0
Painting,Economy,Medium,5.9,7.19,54.4,0.4,145.8,200.0,1990.0
Jewelry,Premium,Small,4.1,5.37,85.8,0.694,106.4,756.0,2005.0
BambooCane,Premium,Small,5.4,4.2,55.2,0.371,76.8,189.0,991.0
Metalware,Standard,Medium,6.6,5.25,50.0,0.611,114.2,575.0,2062.0
Textile,Premium,Large,6.6,5.34,58.3,0.548,99.4,1008.0,2538.0
Metalware,Premium,Large,14.1,4.8,67.7,0.403,72.9,1440.0,4718.0
Metalware,Premium,Medium,7.8,1.6,77.1,0.557,125.3,900.0,2632.0
Leatherwork,Standard,Medium,4.6,5.44,97.8,0.085,101.9,517.5,2424.0
Woodwork,Standard,Large,4.6,6.42,71.1,0.458,78.7,736.0,2392.0
Metalware,Standard,Medium,8.8,3.29,88.7,0.813,118.2,575.0,2438.0
BambooCane,Standard,Small,14.8,3.81,53.9,0.781,84.2,120.7,2007.0
Jewelry,Premium,Medium,6.8,1.81,59.3,0.34,80.5,1080.0,1945.0
Pottery,Standard,Large,12.8,3.39,76.5,0.632,67.3,220.8,1754.0
BambooCane,Standard,Small,4.2,7.97,91.3,0.084,102.5,120.7,1597.0
Textile,Economy,Small,9.4,2.12,70.0,0.45,110.6,196.0,1805.0
Jewelry,Standard,Large,5.7,4.43,74.1,0.702,106.2,1104.0,2592.0
Jewelry,Economy,Small,6.2,3.41,59.4,0.634,83.4,336.0,1272.0
Leatherwork,Premium,Small,24.0,1.4,82.7,0.529,69.0,567.0,3557.0
Jewelry,Standard,Small,6.0,8.32,63.1,0.501,135.6,483.0,2949.0
Painting,Economy,Large,4.7,3.53,67.7,0.947,103.5,320.0,1137.0
Jewelry,Premium,Small,14.0,4.41,73.4,0.549,147.4,756.0,5014.0
Woodwork,Economy,Small,5.4,7.89,65.7,0.754,111.0,224.0,1319.0
Metalware,Economy,Large,3.4,3.49,83.6,0.634,142.4,640.0,1942.0
Pottery,Standard,Small,7.0,4.46,59.0,0.679,76.1,96.6,898.0
Woodwork,Standard,Medium,9.3,5.32,81.3,0.343,140.0,460.0,3755.0
Woodwork,Economy,Small,3.2,5.29,28.6,0.766,139.2,224.0,964.0
Painting,Standard,Small,9.0,3.22,64.7,0.434,127.3,201.2,2395.0
Leatherwork,Standard,Small,3.9,1.57,45.9,0.928,95.7,362.2,732.0
BambooCane,Standard,Medium,12.3,2.22,85.0,0.105,95.4,172.5,2267.0
Painting,Standard,Small,4.8,4.71,64.8,0.489,126.5,201.2,1528.0
Woodwork,Economy,Large,9.7,2.57,72.1,0.101,86.2,512.0,2480.0
Painting,Economy,Large,11.5,3.95,63.0,0.435,108.0,320.0,2610.0
Leatherwork,Economy,Small,10.3,1.84,70.2,0.399,128.3,252.0,2465.0
Metalware,Standard,Medium,5.3,3.61,82.1,0.568,148.4,575.0,2248.0
Metalware,Economy,Small,6.3,4.43,84.1,0.271,94.7,280.0,1901.0
Textile,Standard,Small,5.8,3.29,80.1,0.95,121.8,281.7,1454.0
BambooCane,Economy,Small,7.7,4.16,56.3,0.347,92.9,84.0,1347.0
Jewelry,Standard,Medium,17.2,4.65,93.0,0.7,90.2,690.0,3736.0
Leatherwork,Standard,Medium,6.8,3.79,82.4,0.397,76.3,517.5,1755.0
Metalware,Standard,Medium,2.8,4.3,52.1,0.612,67.2,575.0,1220.0
Woodwork,Economy,Medium,2.4,2.66,80.8,0.724,142.6,320.0,867.0
Painting,Premium,Small,2.5,1.3,53.6,0.882,82.9,315.0,519.0
Metalware,Economy,Small,3.6,6.04,83.9,0.151,80.2,280.0,1195.0
BambooCane,Standard,Large,9.5,2.24,83.9,0.271,128.0,276.0,2260.0
Painting,Standard,Small,9.9,6.81,69.8,0.403,95.3,201.2,2779.0
Pottery,Standard,Medium,4.0,3.75,73.3,0.449,129.0,138.0,1013.0
BambooCane,Standard,Medium,1.5,3.4,89.0,0.404,60.6,172.5,532.0
Leatherwork,Premium,Medium,11.2,1.35,95.0,0.355,86.6,810.0,2778.0
Leatherwork,Economy,Large,6.3,5.9,57.8,0.515,98.4,576.0,2136.0
Jewelry,Standard,Small,10.8,6.61,78.0,0.328,68.8,483.0,2545.0
Jewelry,Premium,Small,9.3,5.16,69.4,0.417,138.4,756.0,3933.0
Jewelry,Premium,Medium,9.7,2.79,67.6,0.623,90.9,1080.0,3062.0
Leatherwork,Economy,Medium,8.2,3.8,83.7,0.878,75.6,360.0,1569.0
Painting,Standard,Large,11.5,6.62,59.8,0.73,91.9,460.0,2529.0
Leatherwork,Standard,Medium,9.0,2.36,81.5,0.524,99.0,517.5,2035.0
Textile,Economy,Medium,8.1,5.95,73.1,0.806,115.1,280.0,2003.0
Metalware,Economy,Large,14.4,1.01,78.1,0.41,137.3,640.0,3440.0
Painting,Economy,Medium,7.7,4.42,61.3,0.868,145.5,200.0,1843.0
Jewelry,Economy,Medium,10.3,8.04,45.1,0.178,136.8,480.0,4378.0
Painting,Premium,Medium,10.9,4.57,94.7,0.807,95.9,450.0,2351.0
Leatherwork,Economy,Medium,3.7,5.27,75.2,0.753,144.9,360.0,1447.0
Pottery,Economy,Small,3.2,4.39,79.5,0.76,105.1,67.2,686.0
Metalware,Economy,Medium,19.4,4.43,60.2,0.716,75.3,400.0,3050.0
Textile,Economy,Small,11.3,0.84,92.8,0.19,143.3,196.0,2946.0
Textile,Economy,Medium,14.9,6.4,55.6,0.665,133.5,280.0,3955.0
Pottery,Standard,Medium,10.1,3.67,93.6,0.849,127.6,138.0,2039.0
Metalware,Standard,Small,12.8,0.66,77.6,0.646,75.9,402.5,1791.0
BambooCane,Standard,Medium,10.0,1.28,88.9,0.667,147.7,172.5,2514.0
Metalware,Standard,Small,9.4,7.32,79.1,0.401,82.8,402.5,2625.0
Metalware,Economy,Medium,12.4,4.2,46.0,0.801,66.2,400.0,1568.0
Leatherwork,Standard,Medium,4.9,5.93,71.3,0.276,65.7,517.5,1875.0
Textile,Economy,Medium,13.1,7.41,93.0,0.816,137.4,280.0,4713.0
Metalware,Standard,Small,9.1,6.4,80.6,0.636,77.2,402.5,2371.0
Painting,Premium,Small,11.2,2.94,87.9,0.148,86.5,315.0,2233.0
Pottery,Economy,Small,5.3,3.14,93.6,0.619,115.5,67.2,1220.0
BambooCane,Standard,Medium,17.7,4.52,70.6,0.41,95.3,172.5,2605.0
Metalware,Economy,Medium,13.5,3.22,55.5,0.752,105.5,400.0,2229.0
Jewelry,Standard,Medium,6.5,3.94,95.7,0.529,117.4,690.0,2447.0
Leatherwork,Premium,Medium,14.5,0.89,70.5,0.522,95.7,810.0,2412.0
Pottery,Economy,Small,16.0,5.19,33.4,0.375,106.9,67.2,2968.0
Jewelry,Economy,Medium,11.6,3.46,55.7,0.283,92.6,480.0,2319.0
Pottery,Standard,Small,12.5,6.25,71.6,0.63,86.6,96.6,2064.0
Metalware,Economy,Small,3.1,4.18,58.0,0.655,128.5,280.0,895.0
BambooCane,Standard,Medium,7.6,2.81,57.4,0.507,105.2,172.5,1311.0
Textile,Economy,Medium,19.9,3.96,95.5,0.259,73.3,280.0,3753.0
Jewelry,Standard,Medium,4.3,5.92,66.8,0.118,104.9,690.0,2457.0
BambooCane,Premium,Small,15.5,1.3,92.9,0.154,118.8,189.0,3574.0
Jewelry,Premium,Medium,3.1,1.56,70.1,0.745,123.0,1080.0,2005.0
Painting,Economy,Small,8.5,4.64,100.0,0.284,117.7,140.0,2745.0
Leatherwork,Economy,Large,18.2,4.1,31.6,0.349,146.8,576.0,4633.0
BambooCane,Economy,Medium,5.8,7.64,59.0,0.126,114.9,120.0,1872.0
Woodwork,Premium,Small,10.3,4.78,77.4,0.262,114.3,504.0,2807.0
Textile,Standard,Large,10.5,4.48,80.9,0.534,87.4,644.0,2831.0
BambooCane,Economy,Medium,14.3,7.41,55.7,0.49,130.4,120.0,3736.0
Textile,Standard,Small,3.3,8.63,44.7,0.315,125.2,281.7,1612.0
Leatherwork,Economy,Small,11.5,1.48,88.1,0.95,128.0,252.0,2355.0
Painting,Premium,Medium,5.0,4.35,66.0,0.765,143.0,450.0,1749.0
Metalware,Standard,Medium,5.4,6.79,77.1,0.522,91.4,575.0,2023.0
Woodwork,Premium,Medium,8.1,2.03,47.1,0.733,145.7,720.0,2242.0
Metalware,Premium,Medium,7.5,3.08,99.8,0.379,119.5,900.0,3472.0
Textile,Economy,Medium,22.4,7.5,71.4,0.523,60.0,280.0,3435.0
Metalware,Standard,Small,8.2,1.22,62.8,0.737,142.4,402.5,1976.0
Jewelry,Economy,Small,11.2,2.13,41.2,0.429,140.2,336.0,2412.0
Leatherwork,Standard,Medium,5.0,6.78,89.5,0.536,66.9,517.5,1894.0
Pottery,Premium,Small,19.0,9.31,86.3,0.418,140.0,151.2,7063.0
Woodwork,Economy,Medium,14.7,8.15,53.9,0.467,89.8,320.0,3080.0
Painting,Standard,Small,7.5,1.52,90.4,0.76,75.8,201.2,1056.0
Jewelry,Standard,Small,10.6,3.93,72.8,0.378,133.3,483.0,3242.0
Textile,Economy,Medium,21.3,2.31,85.5,0.246,144.4,280.0,5111.0
Leatherwork,Premium,Medium,7.2,3.7,56.8,0.408,78.8,810.0,2482.0
Woodwork,Standard,Medium,12.3,6.42,72.3,0.397,119.5,460.0,4067.0
BambooCane,Premium,Medium,4.9,6.72,80.7,0.351,141.2,270.0,2172.0
BambooCane,Premium,Small,8.6,4.29,48.3,0.261,131.6,189.0,2284.0
Textile,Premium,Small,18.6,4.12,67.6,0.828,127.9,441.0,3929.0
Painting,Economy,Small,6.0,2.28,90.8,0.278,72.4,140.0,980.0
Leatherwork,Economy,Medium,20.4,4.42,28.4,0.69,99.3,360.0,3031.0
Woodwork,Economy,Small,8.4,3.05,83.4,0.719,146.0,224.0,2150.0
Painting,Standard,Small,7.4,5.36,67.9,0.192,109.9,201.2,2061.0
BambooCane,Standard,Medium,11.8,7.66,49.5,0.701,85.9,172.5,2153.0
Textile,Standard,Large,4.6,3.09,100.0,0.263,108.5,644.0,2374.0
Metalware,Standard,Small,8.6,4.42,85.3,0.221,121.1,402.5,2940.0
Painting,Premium,Large,8.7,5.95,23.8,0.476,85.6,720.0,2142.0
Textile,Economy,Medium,4.7,7.0,61.9,0.633,78.0,280.0,1135.0
Leatherwork,Economy,Medium,6.6,3.55,58.2,0.749,119.1,360.0,1563.0
Woodwork,Premium,Medium,1.5,4.34,89.4,0.664,100.1,720.0,1534.0
Leatherwork,Premium,Medium,2.3,3.42,57.2,0.689,122.1,810.0,1485.0
Painting,Premium,Medium,7.2,7.27,70.3,0.406,139.4,450.0,3005.0
Leatherwork,Economy,Small,7.2,1.85,65.8,0.689,109.9,252.0,1225.0
Pottery,Economy,Small,13.7,3.38,98.4,0.397,101.4,67.2,2559.0
BambooCane,Standard,Small,9.2,6.83,71.4,0.856,133.5,120.7,2251.0
Woodwork,Premium,Medium,4.8,3.55,84.9,0.324,98.2,720.0,2098.0
Pottery,Standard,Small,12.6,7.66,95.3,0.614,85.4,96.6,2377.0
Painting,Standard,Large,9.4,2.77,85.2,0.653,66.4,460.0,1653.0
Woodwork,Standard,Large,4.3,2.05,46.7,0.695,142.6,736.0,1368.0
BambooCane,Standard,Large,10.0,1.49,73.9,0.583,113.4,276.0,1805.0
Textile,Standard,Medium,9.3,2.97,63.9,0.735,136.2,402.5,2358.0
BambooCane,Premium,Medium,15.6,5.95,74.2,0.564,135.6,270.0,4351.0
Leatherwork,Economy,Large,5.3,5.11,80.1,0.516,148.0,576.0,2622.0
BambooCane,Economy,Large,3.0,0.72,71.5,0.313,82.1,192.0,562.0
BambooCane,Standard,Medium,6.6,5.2,90.5,0.316,105.8,172.5,1892.0
BambooCane,Standard,Medium,4.1,2.08,50.4,0.356,113.3,172.5,796.0
Textile,Economy,Large,19.9,5.26,52.2,0.699,91.5,448.0,3187.0
Jewelry,Economy,Large,1.3,0.58,45.6,0.943,98.8,768.0,851.0
Pottery,Standard,Medium,11.0,1.42,46.5,0.702,80.1,138.0,1291.0
Woodwork,Premium,Medium,6.0,2.4,61.9,0.157,119.8,720.0,2822.0
Textile,Economy,Medium,9.3,6.66,79.3,0.548,122.6,280.0,2979.0
Jewelry,Standard,Medium,2.3,4.1,58.5,0.843,70.5,690.0,1307.0
Textile,Economy,Medium,5.0,2.46,37.6,0.503,128.1,280.0,1095.0
Textile,Economy,Large,6.4,3.87,53.8,0.523,99.1,448.0,1764.0
Jewelry,Economy,Medium,5.4,1.86,92.1,0.319,73.5,480.0,1613.0
Metalware,Standard,Large,8.1,1.45,57.0,0.269,73.4,920.0,1967.0
Pottery,Economy,Medium,3.0,3.62,68.4,0.623,136.7,96.0,774.0
Woodwork,Premium,Medium,4.0,8.54,81.9,0.211,136.4,720.0,3051.0
Metalware,Economy,Medium,3.9,3.49,72.8,0.483,107.5,400.0,1336.0
Painting,Economy,Medium,7.9,5.29,71.0,0.494,120.8,200.0,2100.0
Metalware,Economy,Small,9.6,4.18,67.3,0.627,128.0,280.0,2840.0
BambooCane,Economy,Medium,7.6,3.78,66.0,0.336,107.0,120.0,1304.0
Textile,Economy,Small,18.4,1.92,63.4,0.608,115.4,196.0,3099.0
Leatherwork,Economy,Large,7.2,4.32,97.0,0.688,146.8,576.0,2563.0
Textile,Economy,Large,6.9,4.36,60.4,0.162,147.0,448.0,2798.0
BambooCane,Standard,Large,9.3,1.92,66.3,0.373,69.9,276.0,1354.0
Textile,Premium,Medium,9.1,2.72,56.3,0.448,127.6,630.0,2565.0
Textile,Standard,Medium,5.9,0.89,74.6,0.632,105.5,402.5,1111.0
Painting,Economy,Small,12.9,5.31,51.2,0.401,106.9,140.0,2513.0
Metalware,Premium,Small,12.5,4.75,72.9,0.346,135.9,630.0,4541.0
Pottery,Economy,Medium,2.8,6.87,80.5,0.821,62.5,96.0,426.0
Woodwork,Standard,Medium,7.4,7.23,80.9,0.359,145.7,460.0,3706.0
Textile,Economy,Small,25.0,7.08,86.3,0.686,132.9,196.0,7150.0
Pottery,Economy,Small,5.9,5.75,52.7,0.173,73.1,67.2,866.0
Metalware,Premium,Small,13.4,4.87,54.9,0.254,95.0,630.0,3826.0
Pottery,Economy,Large,18.8,4.19,79.2,0.453,80.4,153.6,3379.0
Woodwork,Premium,Small,4.1,4.92,64.0,0.704,83.3,504.0,1475.0
BambooCane,Standard,Large,8.0,3.72,89.5,0.5,72.1,276.0,1416.0
Leatherwork,Economy,Small,8.8,4.71,88.9,0.05,115.9,252.0,2479.0
Woodwork,Standard,Medium,3.0,3.11,69.0,0.345,65.0,460.0,1103.0
Metalware,Standard,Small,6.6,0.5,54.3,0.566,130.6,402.5,1400.0
Metalware,Premium,Small,8.4,5.78,76.7,0.751,128.1,630.0,3231.0
Woodwork,Premium,Small,10.6,5.47,65.6,0.576,61.0,504.0,2129.0
Pottery,Premium,Small,7.1,4.68,50.2,0.616,76.6,151.2,1052.0
BambooCane,Standard,Medium,6.5,6.68,84.3,0.416,63.4,172.5,1129.0
Jewelry,Standard,Medium,8.3,5.68,67.8,0.682,83.8,690.0,2438.0
Painting,Standard,Small,5.4,7.64,79.3,0.301,100.7,201.2,1719.0
Painting,Standard,Large,6.7,2.81,32.1,0.648,88.6,460.0,1341.0
Jewelry,Standard,Small,10.1,5.57,61.1,0.794,146.2,483.0,2447.0
Painting,Standard,Small,8.4,2.94,81.0,0.433,132.8,201.2,2485.0
Jewelry,Premium,Medium,5.5,4.57,45.4,0.428,82.4,1080.0,2255.0
Pottery,Premium,Large,5.0,7.13,74.1,0.306,93.9,345.6,1623.0
Pottery,Standard,Medium,9.7,3.38,75.3,0.538,89.4,138.0,1586.0
Woodwork,Premium,Small,2.3,1.07,79.6,0.549,130.4,504.0,1015.0
Painting,Standard,Small,1.7,4.34,76.9,0.669,114.8,201.2,539.0
Pottery,Standard,Small,6.7,3.11,100.0,0.22,60.1,96.6,1041.0
Pottery,Premium,Small,11.0,4.05,55.6,0.792,112.2,151.2,1782.0
BambooCane,Premium,Medium,14.6,5.77,70.9,0.295,123.9,270.0,4290.0
Metalware,Standard,Large,2.1,3.93,98.5,0.433,101.2,920.0,2019.0
Textile,Economy,Medium,8.5,7.55,60.7,0.476,91.4,280.0,2166.0
Textile,Standard,Small,6.4,3.72,86.9,0.366,100.7,281.7,1576.0
Painting,Standard,Medium,7.2,1.23,64.0,0.486,85.0,287.5,1037.0
Jewelry,Economy,Large,18.4,4.03,74.2,0.077,70.4,768.0,4560.0
Pottery,Premium,Medium,6.6,3.37,92.8,0.361,105.3,216.0,1820.0
Woodwork,Economy,Small,4.1,5.5,52.7,0.899,104.9,224.0,964.0
Woodwork,Economy,Medium,3.6,6.49,79.5,0.283,79.5,320.0,1305.0
BambooCane,Premium,Small,2.0,0.59,55.5,0.537,135.5,189.0,513.0
Textile,Premium,Small,3.4,4.4,54.4,0.498,110.9,441.0,1167.0
Painting,Standard,Large,1.1,2.94,67.7,0.927,98.1,460.0,844.0
BambooCane,Premium,Small,7.7,4.25,91.4,0.628,119.2,189.0,2138.0
Woodwork,Premium,Medium,5.9,6.51,73.1,0.657,130.7,720.0,2867.0
Jewelry,Premium,Medium,5.8,5.09,88.9,0.27,62.0,1080.0,3457.0
Woodwork,Economy,Large,43.1,3.96,52.7,0.892,105.0,512.0,6074.0
Textile,Economy,Medium,17.2,2.91,67.2,0.329,141.7,280.0,5152.0
BambooCane,Economy,Large,12.1,6.55,91.9,0.701,68.4,192.0,1970.0
Textile,Standard,Medium,4.0,5.8,78.5,0.476,110.2,402.5,1559.0
Jewelry,Standard,Medium,26.2,3.73,61.1,0.496,104.5,690.0,4851.0
BambooCane,Premium,Medium,13.0,4.16,82.5,0.642,126.5,270.0,3420.0
Textile,Premium,Medium,11.7,1.62,86.5,0.571,118.4,630.0,3138.0
BambooCane,Economy,Small,6.5,4.53,77.3,0.163,147.6,84.0,2168.0
Woodwork,Economy,Large,4.6,1.47,39.7,0.247,119.7,512.0,1236.0
Leatherwork,Economy,Small,6.4,2.44,83.0,0.3,123.9,252.0,1842.0
Jewelry,Economy,Small,5.0,0.53,87.4,0.801,85.5,336.0,833.0
Jewelry,Standard,Medium,14.0,8.14,97.5,0.804,75.1,690.0,3682.0
Metalware,Economy,Medium,13.5,3.89,80.5,0.214,97.4,400.0,3305.0
Painting,Economy,Small,18.3,4.31,77.8,0.503,120.5,140.0,3936.0
Metalware,Premium,Medium,14.6,3.41,100.0,0.195,104.9,900.0,5482.0
Woodwork,Premium,Medium,4.6,4.76,100.0,0.707,76.7,720.0,2016.0
BambooCane,Standard,Small,3.4,3.11,79.4,0.776,67.9,120.7,525.0
Woodwork,Economy,Medium,13.8,5.29,92.0,0.317,72.1,320.0,2709.0
Pottery,Standard,Medium,8.2,2.52,81.4,0.655,112.9,138.0,1562.0
Woodwork,Standard,Large,23.9,5.17,70.9,0.436,61.2,736.0,4275.0
BambooCane,Economy,Small,9.7,7.94,50.3,0.688,126.4,84.0,2456.0
Woodwork,Standard,Small,4.0,0.51,75.9,0.236,137.5,322.0,1404.0
Textile,Standard,Medium,7.2,4.04,73.7,0.853,76.4,402.5,1301.0
Textile,Standard,Medium,8.3,1.0,92.4,0.08,137.4,402.5,2667.0
Painting,Economy,Medium,4.5,3.41,78.1,0.272,140.9,200.0,1500.0
Textile,Premium,Small,4.2,2.57,84.2,0.247,91.2,441.0,1641.0
Leatherwork,Standard,Medium,4.9,4.2,66.9,0.456,61.8,517.5,1459.0
Leatherwork,Premium,Medium,7.2,0.5,48.6,0.44,118.7,810.0,2051.0
Leatherwork,Standard,Medium,8.2,7.8,45.5,0.579,67.9,517.5,1988.0
Jewelry,Economy,Medium,7.7,4.83,47.3,0.736,63.1,480.0,1300.0
Textile,Standard,Small,3.7,1.92,66.8,0.759,132.1,281.7,890.0
Textile,Economy,Large,6.1,8.06,67.6,0.642,100.8,448.0,1830.0
Textile,Premium,Large,7.6,3.89,70.0,0.294,70.1,1008.0,3270.0
Painting,Standard,Medium,3.0,3.22,58.7,0.708,70.5,287.5,713.0
Woodwork,Economy,Medium,12.3,2.56,57.1,0.526,62.7,320.0,1446.0
Textile,Premium,Small,13.6,7.73,95.8,0.823,65.8,441.0,2932.0
Jewelry,Economy,Small,15.4,5.76,73.4,0.54,115.3,336.0,3836.0
Woodwork,Economy,Small,4.3,5.92,76.9,0.522,125.8,224.0,1392.0
Woodwork,Economy,Medium,8.0,6.0,90.9,0.631,92.2,320.0,1831.0
Jewelry,Standard,Small,4.7,5.14,67.4,0.59,84.4,483.0,1431.0
Painting,Standard,Small,15.5,6.46,64.6,0.615,127.0,201.2,3712.0
Metalware,Standard,Large,3.3,1.68,94.0,0.473,90.8,920.0,2124.0
BambooCane,Economy,Medium,5.1,5.1,93.0,0.852,66.4,120.0,769.0
Painting,Standard,Small,14.8,2.07,62.4,0.328,72.8,201.2,1688.0
BambooCane,Economy,Large,4.5,3.45,57.1,0.064,89.6,192.0,1005.0
BambooCane,Standard,Medium,9.2,3.0,71.5,0.192,92.2,172.5,1845.0
Textile,Economy,Small,3.3,1.82,92.1,0.692,82.2,196.0,722.0
BambooCane,Premium,Large,7.9,2.17,47.3,0.41,89.8,432.0,1534.0
Jewelry,Standard,Small,4.1,5.74,66.0,0.661,136.7,483.0,1973.0
Metalware,Premium,Small,20.6,1.89,67.1,0.858,147.1,630.0,4832.0
Metalware,Standard,Small,7.8,7.12,83.8,0.361,133.6,402.5,3441.0
Jewelry,Standard,Medium,3.0,2.42,55.9,0.508,125.7,690.0,1471.0
Woodwork,Economy,Medium,8.1,3.66,73.8,0.653,113.4,320.0,1856.0
Woodwork,Premium,Medium,12.0,3.84,45.2,0.902,128.6,720.0,2637.0
Textile,Premium,Large,20.2,0.68,100.0,0.147,109.4,1008.0,5933.0
Metalware,Premium,Large,1.4,4.87,66.7,0.534,65.1,1440.0,2424.0
Pottery,Premium,Small,6.3,3.75,80.4,0.398,139.5,151.2,1762.0
Leatherwork,Standard,Medium,16.8,4.29,82.2,0.566,94.6,517.5,3498.0
Painting,Economy,Medium,8.5,3.37,94.6,0.562,124.7,200.0,2246.0
Painting,Standard,Small,11.9,4.25,74.7,0.589,84.6,201.2,1962.0
Textile,Economy,Large,11.6,3.7,56.6,0.498,138.6,448.0,3279.0
Woodwork,Standard,Small,11.4,5.08,82.0,0.385,132.3,322.0,3350.0
BambooCane,Standard,Medium,3.6,2.92,83.3,0.529,101.0,172.5,956.0
Leatherwork,Premium,Medium,14.8,0.5,56.0,0.349,110.8,810.0,3583.0
Leatherwork,Economy,Medium,5.2,3.21,83.0,0.35,140.9,360.0,1979.0
BambooCane,Standard,Large,8.2,2.64,77.4,0.749,86.2,276.0,1319.0
Pottery,Economy,Medium,6.0,1.45,83.6,0.935,97.1,96.0,829.0
Woodwork,Standard,Large,7.2,3.84,67.5,0.472,140.0,736.0,2674.0
Woodwork,Economy,Medium,4.3,3.65,64.6,0.149,80.4,320.0,1089.0
Painting,Economy,Small,11.8,3.3,78.8,0.48,139.8,140.0,3315.0
Textile,Standard,Small,8.5,5.07,67.5,0.886,118.4,281.7,1747.0
Jewelry,Economy,Medium,12.9,6.33,73.9,0.572,126.6,480.0,4776.0
Painting,Economy,Medium,14.4,3.42,60.0,0.635,143.3,200.0,3436.0
Woodwork,Economy,Medium,7.1,6.99,92.1,0.139,76.8,320.0,2337.0
Textile,Premium,Small,8.1,2.56,65.1,0.741,149.7,441.0,1950.0
Textile,Economy,Large,2.5,2.18,52.0,0.533,145.5,448.0,1100.0
Painting,Economy,Small,7.7,2.7,71.3,0.635,121.8,140.0,1484.0
Leatherwork,Standard,Small,2.1,5.23,87.2,0.707,133.6,362.2,974.0
Metalware,Economy,Small,4.9,5.68,70.9,0.517,129.0,280.0,1796.0
BambooCane,Standard,Medium,8.8,3.46,80.6,0.649,87.9,172.5,1431.0
Jewelry,Economy,Medium,6.4,1.53,44.0,0.307,128.4,480.0,1743.0
Woodwork,Economy,Medium,1.0,6.55,75.7,0.704,103.5,320.0,871.0
Textile,Economy,Medium,15.0,5.13,52.1,0.183,134.1,280.0,4535.0
Metalware,Premium,Large,5.0,8.31,51.8,0.503,127.6,1440.0,4083.0
BambooCane,Premium,Small,11.8,2.22,68.3,0.405,136.5,189.0,2768.0
Metalware,Standard,Small,3.1,6.99,56.4,0.651,76.4,402.5,1017.0
Leatherwork,Economy,Small,5.7,3.13,84.7,0.536,140.7,252.0,1959.0
Metalware,Standard,Medium,5.9,6.13,70.9,0.786,97.1,575.0,2008.0
Textile,Economy,Small,3.4,6.65,71.6,0.267,64.2,196.0,971.0
Textile,Economy,Small,2.4,3.71,61.3,0.542,147.3,196.0,834.0
Metalware,Economy,Small,9.9,2.17,76.5,0.896,72.5,280.0,997.0
Woodwork,Economy,Small,21.0,3.66,58.7,0.43,108.5,224.0,3472.0
Leatherwork,Economy,Medium,6.8,6.32,71.6,0.89,142.5,360.0,1823.0
Metalware,Premium,Medium,8.6,3.07,62.2,0.427,100.5,900.0,2730.0
Jewelry,Standard,Small,8.6,3.83,76.7,0.48,74.0,483.0,2044.0
Metalware,Premium,Large,20.4,1.87,93.5,0.635,78.6,1440.0,5025.0
Textile,Standard,Medium,14.6,6.57,66.2,0.196,133.6,402.5,4859.0
Leatherwork,Standard,Medium,3.6,1.33,65.4,0.447,68.3,517.5,1108.0
Metalware,Standard,Medium,9.1,2.94,75.1,0.503,86.0,575.0,1920.0
Metalware,Standard,Small,6.4,5.54,81.2,0.495,145.5,402.5,2780.0
Textile,Standard,Small,10.7,2.07,68.6,0.342,89.4,281.7,2029.0
Leatherwork,Economy,Large,12.6,3.18,69.9,0.641,111.8,576.0,2899.0
Painting,Standard,Medium,10.3,3.59,43.0,0.603,147.2,287.5,2185.0
Leatherwork,Economy,Small,1.6,5.64,66.6,0.311,142.9,252.0,997.0
Painting,Standard,Small,13.7,2.93,67.9,0.068,72.9,201.2,2548.0
Leatherwork,Economy,Large,6.5,4.79,77.4,0.136,143.0,576.0,2979.0
Leatherwork,Premium,Medium,6.4,4.71,68.9,0.369,128.2,810.0,3005.0
Leatherwork,Standard,Small,6.9,2.19,33.7,0.719,68.0,362.2,923.0
